"","age","workclass","fnlwgt","education.num","marital.status","occupation","relationship","race","sex","capital.gain","capital.loss","hours.per.week","native.country","income"
"244",45,2,207107,12,1,2,5,2,2,0,2080,40,31,1
"245",64,5,149044,14,3,11,1,2,2,0,2057,60,4,1
"246",30,5,148524,9,3,15,1,5,2,0,2057,40,40,1
"247",51,7,268639,10,3,11,6,5,1,0,2057,60,3,1
"248",35,5,272019,7,3,4,1,5,2,0,2057,40,40,1
"249",29,5,239753,9,3,2,6,5,1,0,2057,20,40,1
"250",34,5,199864,10,3,2,6,5,1,0,2057,40,40,1
"251",41,5,125831,9,3,4,1,5,2,0,2051,60,40,1
"252",35,5,67728,10,3,4,1,5,2,0,2051,45,40,1
"253",26,5,115717,10,3,2,1,5,2,0,2051,40,40,1
"254",54,5,172281,9,3,15,1,5,2,0,2051,50,40,1
"255",52,3,305053,9,3,4,1,5,2,0,2051,40,40,1
"256",50,7,105010,9,3,6,1,5,2,0,2051,20,40,1
"257",31,5,291052,10,3,2,1,5,2,0,2051,40,40,1
"258",38,2,248919,9,3,15,1,5,2,0,2051,40,40,1
"259",30,5,84119,10,3,4,1,5,2,0,2051,40,40,1
"260",34,3,105540,13,3,11,1,5,2,0,2051,40,40,1
"261",31,5,161765,10,3,13,1,5,2,0,2051,57,40,1
"262",52,5,195635,9,3,8,1,5,2,0,2051,38,40,1
"263",54,5,816750,9,3,4,1,5,2,0,2051,40,40,1
"264",38,5,160192,9,3,4,1,5,2,0,2051,44,40,1
"265",39,5,136081,9,3,8,1,5,2,0,2051,40,40,1
"266",29,5,244473,11,3,14,1,5,2,0,2051,40,40,1
"267",45,5,187033,9,3,4,1,5,2,0,2051,40,40,1
"268",34,5,265807,9,3,15,1,5,2,0,2051,55,40,1
"269",38,5,154410,9,3,4,1,5,2,0,2051,40,32,1
"270",39,5,314007,6,3,4,1,5,2,0,2051,40,40,1
"271",61,5,179743,9,3,4,1,5,2,0,2051,20,40,1
"272",43,5,117037,7,3,15,1,5,2,0,2042,40,40,1
"273",35,5,40135,10,3,7,1,5,2,0,2042,40,40,1
"274",46,5,315423,10,3,13,1,5,2,0,2042,50,40,1
"275",38,5,35429,9,3,7,1,5,2,0,2042,40,40,1
"276",42,7,120837,9,3,4,1,5,2,0,2042,48,40,1
"277",34,5,90614,12,3,14,1,5,2,0,2042,10,40,1
"278",29,5,202878,4,3,6,1,5,2,0,2042,40,40,1
"279",32,5,260954,7,3,4,1,5,2,0,2042,30,40,1
"280",60,5,127084,9,3,12,1,5,2,0,2042,34,40,1
"281",49,3,107231,9,3,4,1,5,2,0,2002,40,40,1
"282",53,3,135102,9,3,9,1,5,2,0,2002,45,40,1
"283",56,5,201822,4,3,7,1,5,2,0,2002,40,40,1
"284",48,5,413363,7,3,15,1,5,2,0,2002,40,40,1
"285",32,2,148138,13,3,11,1,2,2,0,2002,40,21,1
"286",42,7,170721,9,3,4,1,5,2,0,2002,40,40,1
"287",32,5,102858,12,3,11,1,5,2,0,2002,42,40,1
"288",28,3,175262,12,3,12,1,5,2,0,2002,40,10,1
"289",26,5,36936,11,3,4,1,5,2,0,2002,40,40,1
"290",59,5,169982,13,3,5,1,5,2,0,2002,50,40,1
"291",47,7,208407,13,3,11,1,5,2,0,2002,30,40,1
"292",26,NA,131777,13,3,NA,1,5,2,0,2002,40,40,1
"293",41,5,41090,9,3,4,1,5,2,0,2002,60,40,1
"294",36,5,183739,9,3,4,4,5,1,0,2002,40,40,1
"295",45,5,357540,13,3,13,1,5,2,0,2002,55,40,1
"296",30,5,48520,12,3,11,1,5,2,0,2002,40,40,1
"297",36,5,107916,9,3,15,1,5,2,0,2002,40,40,1
"298",34,6,198613,9,3,5,1,5,2,0,2002,40,40,1
"299",53,5,283743,9,3,15,1,5,2,0,2002,40,40,1
"300",51,5,210940,9,3,13,1,5,2,0,2002,45,40,1
"301",47,7,355978,16,3,15,1,5,2,0,2002,45,40,1
"302",19,NA,241616,9,5,NA,5,5,2,0,2001,40,40,1
"303",30,5,57651,9,5,2,5,5,2,0,2001,42,40,1
"304",20,5,315877,9,5,9,5,5,2,0,2001,40,40,1
"305",42,2,74680,14,1,2,2,5,2,0,2001,60,40,1
"306",31,5,454508,7,5,4,2,5,2,0,2001,40,40,1
"307",33,5,202046,13,5,7,2,5,2,0,2001,40,40,1
"308",25,5,121102,12,5,14,2,5,1,0,2001,30,40,1
"309",20,5,146879,9,5,9,2,5,2,0,2001,40,40,1
"310",23,5,213955,9,5,2,4,3,2,0,2001,40,40,1
"311",55,NA,123382,9,6,NA,2,3,1,0,2001,40,40,1
"312",41,7,277783,10,1,4,2,5,2,0,2001,50,40,1
"313",54,7,199741,9,7,4,2,5,2,0,2001,35,40,1
"314",25,5,378322,9,5,4,2,5,2,0,2001,50,40,1
"315",19,5,264390,10,5,2,4,5,1,0,2001,40,40,1
"316",24,5,210029,9,5,2,2,5,1,0,2001,37,40,1
"317",56,2,61885,13,5,15,2,3,2,0,2001,65,40,1
"318",21,3,102942,10,5,9,2,5,1,0,2001,40,40,1
"319",34,5,209297,9,5,8,2,3,2,0,2001,40,40,1
"320",19,5,198459,9,5,2,4,5,2,0,2001,40,40,1
"321",21,NA,40052,10,5,NA,2,5,2,0,2001,45,40,1
"322",48,5,93476,9,6,2,2,5,1,0,2001,40,40,1
"323",34,5,174789,13,5,9,2,5,2,0,2001,40,40,1
"324",31,5,189759,9,5,6,2,5,2,0,2001,40,40,1
"325",36,5,297847,9,5,9,2,3,1,0,2001,40,40,1
"326",27,5,124953,9,5,9,2,5,2,0,1980,40,40,1
"327",27,5,116358,10,5,4,4,2,2,0,1980,40,31,1
"328",35,5,187119,13,1,13,2,5,1,0,1980,65,40,1
"329",31,7,161745,13,4,5,2,5,2,0,1980,60,40,1
"330",27,2,469705,9,5,4,2,3,2,0,1980,40,40,1
"331",28,3,304960,12,5,2,2,5,1,0,1980,40,40,1
"332",42,5,175935,9,1,15,2,5,2,0,1980,46,40,1
"333",44,5,355728,10,6,5,2,5,2,0,1980,45,10,1
"334",41,5,53956,13,1,13,2,5,2,0,1980,56,40,1
"335",28,5,184723,13,5,14,2,5,1,0,1980,35,40,1
"336",41,2,185616,9,5,2,2,5,1,0,1980,40,40,1
"337",35,5,54595,6,7,9,2,3,1,0,1980,40,40,1
"338",58,5,126104,14,1,2,2,5,1,0,1980,45,40,1
"339",40,5,139193,9,1,8,2,5,2,0,1980,48,40,1
"340",31,5,184306,11,5,15,4,5,2,0,1980,60,40,1
"341",30,5,207301,9,5,13,2,5,1,0,1980,40,40,1
"342",32,5,199529,10,6,14,2,1,2,0,1980,40,40,1
"343",25,5,111058,10,5,2,2,5,2,0,1980,40,40,1
"344",34,5,198103,9,5,15,4,5,2,0,1980,40,40,1
"345",56,5,34626,10,1,5,2,5,1,0,1980,40,40,1
"346",45,5,100651,9,1,9,2,5,2,0,1980,40,40,1
"347",50,5,104501,9,5,2,2,5,2,0,1980,40,40,1
"348",27,5,132805,6,5,13,3,5,2,0,1980,40,40,1
"349",51,5,96062,10,3,13,1,5,2,0,1977,40,40,2
"350",40,5,207578,12,3,14,1,5,2,0,1977,60,40,2
"351",41,5,445382,14,3,5,1,5,2,0,1977,65,40,2
"352",49,5,192776,14,3,5,1,5,2,0,1977,45,40,2
"353",37,5,22463,11,3,4,1,5,2,0,1977,40,40,2
"354",36,6,108293,13,3,5,6,5,1,0,1977,45,40,2
"355",35,5,199352,15,3,11,1,5,2,0,1977,80,40,2
"356",29,6,260729,9,3,13,6,5,1,0,1977,25,40,2
"357",50,5,133963,13,3,11,6,5,1,0,1977,40,40,2
"358",46,5,129007,13,3,13,1,5,2,0,1977,40,40,2
"359",44,7,179557,9,3,5,1,5,2,0,1977,45,40,2
"360",42,3,111252,14,3,5,1,5,2,0,1977,40,40,2
"361",38,2,338320,15,3,11,1,5,2,0,1977,50,40,2
"362",45,5,192835,13,3,5,1,5,2,0,1977,55,40,2
"363",43,3,147328,14,3,5,1,5,2,0,1977,60,40,2
"364",47,6,139268,15,3,11,1,5,2,0,1977,60,40,2
"365",58,6,349910,15,3,11,1,5,2,0,1977,50,40,2
"366",48,5,331482,15,3,14,1,5,2,0,1977,40,40,2
"367",42,3,245307,13,3,5,1,5,2,0,1977,48,40,2
"368",55,5,153484,14,3,5,1,5,2,0,1977,50,40,2
"369",51,5,252903,6,3,13,1,5,2,0,1977,40,40,2
"370",32,5,295589,14,3,5,1,3,2,0,1977,40,40,2
"371",45,3,160472,13,3,5,1,5,2,0,1977,50,40,2
"372",56,5,192869,14,3,4,1,5,2,0,1977,44,40,2
"373",38,5,234901,14,3,5,1,5,2,0,1977,60,40,2
"374",45,5,33300,11,3,13,1,5,2,0,1977,50,40,2
"375",49,5,101825,14,3,11,6,5,1,0,1977,40,40,2
"376",36,5,183612,9,3,11,1,5,2,0,1977,40,40,2
"377",49,5,185041,14,3,5,1,5,2,0,1977,40,40,2
"378",30,5,315640,16,3,11,1,2,2,0,1977,40,4,2
"379",42,6,123838,15,3,11,1,5,2,0,1977,50,40,2
"380",55,5,31905,14,3,5,1,5,2,0,1977,40,40,2
"381",34,5,181091,13,3,5,1,5,2,0,1977,45,40,2
"382",54,5,88278,16,3,11,1,5,2,0,1977,50,40,2
"383",42,7,323790,13,3,5,1,5,2,0,1977,70,40,2
"384",25,3,90730,13,3,11,1,5,2,0,1977,40,40,2
"385",55,6,138594,9,3,5,1,5,2,0,1977,45,40,2
"386",58,8,194068,14,3,11,1,5,2,0,1977,50,40,2
"387",62,5,218009,9,3,15,1,5,2,0,1977,60,40,2
"388",43,6,221172,15,3,11,1,5,2,0,1977,40,40,2
"389",57,3,174132,14,3,11,6,3,1,0,1977,40,40,2
"390",42,6,277256,16,3,11,1,5,2,0,1977,60,40,2
"391",63,7,35021,13,3,11,1,2,2,0,1977,32,4,2
"392",47,7,213668,15,3,11,1,5,2,0,1977,50,40,2
"393",37,5,99146,13,3,5,1,5,2,0,1977,50,40,2
"394",40,5,209547,13,3,13,1,5,2,0,1977,60,40,2
"395",43,5,118308,13,3,11,1,5,2,0,1977,50,40,2
"396",43,8,33331,15,3,11,1,5,2,0,1977,70,40,2
"397",41,7,200574,15,3,11,1,5,2,0,1977,60,40,2
"398",32,5,204374,15,3,11,1,5,2,0,1977,60,40,2
"399",47,5,189680,13,3,13,1,5,2,0,1977,40,40,2
"400",39,2,175232,10,3,7,1,5,2,0,1977,60,40,2
"401",53,5,193720,10,3,5,1,5,2,0,1977,40,40,2
"402",34,5,189759,13,3,5,1,5,2,0,1977,45,40,2
"403",36,5,32776,13,3,5,1,5,2,0,1977,40,40,2
"404",47,3,285060,14,3,5,1,5,2,0,1977,41,40,2
"405",52,5,23780,11,3,5,1,5,2,0,1977,45,40,2
"406",40,7,284706,15,3,11,1,1,2,0,1977,60,40,2
"407",42,6,130126,13,3,11,1,5,2,0,1977,40,40,2
"408",51,5,102615,14,3,12,1,5,2,0,1977,40,40,2
"409",55,5,208311,14,3,14,1,5,2,0,1977,20,40,2
"410",38,5,111499,9,3,13,1,5,2,0,1977,99,40,2
"411",52,5,139671,10,3,5,1,5,2,0,1977,50,40,2
"412",60,2,165630,9,3,14,1,5,2,0,1977,40,40,2
"413",55,5,124808,11,3,11,1,5,2,0,1977,50,12,2
"414",47,3,29819,14,3,5,1,3,2,0,1977,50,40,2
"415",46,5,102771,14,3,14,1,5,2,0,1977,40,40,2
"416",35,5,86648,14,3,11,1,5,2,0,1977,45,40,2
"417",59,6,223215,13,3,5,1,5,2,0,1977,50,40,2
"418",57,5,437727,14,3,11,1,5,2,0,1977,45,40,2
